[ 2017-06-20T15:41:24+08:00 ] /mb_oa/index.php | DEBUG: Tag[ app_begin ] --START--
[ 2017-06-20T15:41:24+08:00 ] /mb_oa/index.php | DEBUG: Run CheckTemplate Behavior [ RunTime:0.000412s ]
[ 2017-06-20T15:41:24+08:00 ] /mb_oa/index.php | DEBUG: Tag[ app_begin ] --END-- [ RunTime:0.000515s ]
[ 2017-06-20T16:00:55+08:00 ] /mb_oa/index.php?m=Index&a=index | DEBUG: Tag[ app_begin ] --START--
[ 2017-06-20T16:00:55+08:00 ] /mb_oa/index.php?m=Index&a=index | DEBUG: Run CheckTemplate Behavior [ RunTime:0.000373s ]
[ 2017-06-20T16:00:55+08:00 ] /mb_oa/index.php?m=Index&a=index | DEBUG: Tag[ app_begin ] --END-- [ RunTime:0.000471s ]
[ 2017-06-20T16:03:24+08:00 ] /mb_oa/index.php?m=Index&a=xiaobei | DEBUG: Tag[ app_begin ] --START--
[ 2017-06-20T16:03:24+08:00 ] /mb_oa/index.php?m=Index&a=xiaobei | DEBUG: Run CheckTemplate Behavior [ RunTime:0.000154s ]
[ 2017-06-20T16:03:24+08:00 ] /mb_oa/index.php?m=Index&a=xiaobei | DEBUG: Tag[ app_begin ] --END-- [ RunTime:0.000244s ]
[ 2017-06-20T16:07:23+08:00 ] /mb_oa/index.php?m=Index&a=xiaobei | DEBUG: Tag[ app_begin ] --START--
[ 2017-06-20T16:07:23+08:00 ] /mb_oa/index.php?m=Index&a=xiaobei | DEBUG: Run CheckTemplate Behavior [ RunTime:0.000601s ]
[ 2017-06-20T16:07:23+08:00 ] /mb_oa/index.php?m=Index&a=xiaobei | DEBUG: Tag[ app_begin ] --END-- [ RunTime:0.000718s ]
[ 2017-06-20T16:08:06+08:00 ] /mb_oa/index.php/m/Index/a/xiaobei | ERR: (ThinkException) 无法加载模块m
[ 2017-06-20T16:08:31+08:00 ] /mb_oa/index.php/Index/xiaobei | DEBUG: Tag[ route_check ] --START--
[ 2017-06-20T16:08:31+08:00 ] /mb_oa/index.php/Index/xiaobei | DEBUG: Run CheckRoute Behavior [ RunTime:0.000282s ]
[ 2017-06-20T16:08:31+08:00 ] /mb_oa/index.php/Index/xiaobei | DEBUG: Tag[ route_check ] --END-- [ RunTime:0.000363s ]
[ 2017-06-20T16:08:31+08:00 ] /mb_oa/index.php/Index/xiaobei | NOTIC: [2] preg_replace(): The /e modifier is no longer supported, use preg_replace_callback instead Dispatcher.class.php 第 111 行.
[ 2017-06-20T16:08:31+08:00 ] /mb_oa/index.php/Index/xiaobei | DEBUG: Tag[ app_begin ] --START--
[ 2017-06-20T16:08:31+08:00 ] /mb_oa/index.php/Index/xiaobei | DEBUG: Run CheckTemplate Behavior [ RunTime:0.000130s ]
